Тема,Социальная сеть,Целевая аудитория,Дополнительная информация,num_message,stage,prompt,model
Какие книги стоит прочитать каждому?,ВК,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение","Публикация поможет привлечь внимание к книгам, которые могут изменить жизнь читателя.",0,extract,0,gemma-2-9b-it-Q8_0_L
Сколько книг нужно читать в год?,Телеграм,"Люди, интересующиеся интеллектуальным развитием и самосовершенствованием",Публикация будет содержать личный опыт и советы по чтению.,1,extract,0,gemma-2-9b-it-Q8_0_L
Топ-5 упражнений для утренней зарядки,Инстаграм,"Люди, стремящиеся начать день с бодрости и энергии, заинтересованные в здоровом образе жизни",Публикация должна мотивировать аудиторию к занятиям спортом.,2,extract,0,gemma-2-9b-it-Q8_0_L
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в жизни","Рассказ о преодолении препятствий и достижении целей, вдохновляющая история",3,extract,0,gemma-2-9b-it-Q8_0_L
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,Садоводы и огородники,Публикация поможет поделиться знаниями и опытом,4,extract,0,gemma-2-9b-it-Q8_0_L
Лучшие сорта томатов для Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте",Информация поможет выбрать подходящие сорта.,5,extract,0,gemma-2-9b-it-Q8_0_L
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Все, кто интересуется политикой и технологиями",Публикация для обсуждения влияния ИИ на политическую сферу,6,extract,0,gemma-2-9b-it-Q8_0_L
Роль молодёжи в политической жизни страны: возможности и перспективы,Инстаграм,"Молодые люди, желающие участвовать в политической жизни",Публикация должна способствовать обсуждению роли молодежи в политике.,7,extract,0,gemma-2-9b-it-Q8_0_L
Как анализ больших данных помогает оптимизировать бизнес-процессы,ВКонтакте,предприниматели и менеджеры,Публикация о личном опыте использования анализа данных для оптимизации бизнес-процессов,8,extract,0,gemma-2-9b-it-Q8_0_L
Перспективы развития аналитики больших данных в ближайшие годы,Инстаграм,Специалисты в области аналитики данных и IT,Публикация должна способствовать обсуждению тенденций развития аналитики данных,9,extract,0,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Все, кто интересуется влиянием медиа на общество",Публикация должна способствовать обсуждению роли социальных сетей в формировании мнений.,10,extract,0,gemma-2-9b-it-Q8_0_L
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,маркетологи и рекламодатели,Публикация для обсуждения будущего интернет-рекламы,11,extract,0,gemma-2-9b-it-Q8_0_L
Как развить критическое мышление,Инстаграм,"Все, кто хочет научиться анализировать информацию и принимать обоснованные решения",Публикация должна содержать методы и упражнения для развития критического мышления,12,extract,0,gemma-2-9b-it-Q8_0_L
Экологические проблемы современного мира,Инстаграм,"Все, кто заботится о будущем нашей планеты",Публикация для обсуждения экологических проблем и способов их решения,13,extract,0,gemma-2-9b-it-Q8_0_L
Искусство медитации,Телеграм,"Люди, желающие научиться расслабляться и справляться со стрессом",Публикации должны содержать техники медитации и её преимущества.,14,extract,0,gemma-2-9b-it-Q8_0_L
Как стать более организованным,Телеграм,"Все, кто хочет улучшить свою продуктивность и эффективность",Публикация о методах организации времени и пространства,15,extract,0,gemma-2-9b-it-Q8_0_L
Здоровое питание,Твиттер,"Люди, заботящиеся о своем здоровье",Публикации с советами по выбору продуктов и составлению рациона.,16,extract,0,gemma-2-9b-it-Q8_0_L
Как развивать творческие способности,Инстаграм,"Все, кто хочет раскрыть свой творческий потенциал",Публикация должна содержать методы и упражнения для развития творческих способностей,17,extract,0,gemma-2-9b-it-Q8_0_L
Психология цвета,Телеграм,"дизайнеры, маркетологи, все, кто хочет лучше понимать влияние цвета на восприятие информации",Публикация должна содержать исследования и рекомендации по использованию цветов,18,extract,0,gemma-2-9b-it-Q8_0_L
