query,url1,url2
книги для расширения кругозора и вдохновения -cyberleninka -youtube -видео -pdf,https://www.mann-ivanov-ferber.ru/catalog/tag/sekretik-krug/,https://www.mann-ivanov-ferber.ru/dr-krugozor-2016/
топ 5-7 книг для саморазвития и поиска вдохновения -cyberleninka -youtube -видео -pdf,https://skills-akademy.ru/top-5-knig-dlya-samostoyatelnogo-obucheniya-skorochteniyu/,https://www.livelib.ru/author/29482/top-a-i-savenkov
сколько книг читать в год для саморазвития -cyberleninka -youtube -видео -pdf,https://sportzania.ru/about/publikatsii/chto-budet-esli-chitat-mnogo-knig/,https://blog.mann-ivanov-ferber.ru/2015/07/24/chitajte-bolshe-90-i-1-sposob/
как развить привычку читать и выбрать интересные книги -cyberleninka -youtube -видео -pdf,https://vk.com/@pokoleniye_m-privychka-chitat-chto-delat-esli-chitat-hochetsya-no-ne-hoch,https://blog.mann-ivanov-ferber.ru/2017/10/02/odna-privychka-v-nedelyu-chitajte-dlya-udovolstviya/
топ 5 упражнений для утренней зарядки видео -cyberleninka -youtube -видео -pdf,https://alphamed.by/utrennyaya-zaryadka-kak-pravilno-delat/,https://sberbankaktivno.ru/journal/article/2339
эффективная утренняя зарядка фото и описание -cyberleninka -youtube -видео -pdf,https://mpgu.su/novosti/jeffektivnaja-utrennjaja-zarjadka-glavnye-pravila-i-kompleks-uprazhnenij/,https://www.ozon.ru/club/article/10-luchshih-uprazhneniy-dlya-utrenney-zaryadki-kak-pridat-sebe-bodrost-7145/?__rr=1&abt_att=1&origin_referer=www.google.com
история успеха известного спортсмена -cyberleninka -youtube -видео -pdf,https://style.rbc.ru/impressions/602e4ec09a79478543ee5703,https://side-step.ru/adidas-velikaja-istorija-uspeha.html
как спортсмены преодолевают трудности и достигают вершины -cyberleninka -youtube -видео -pdf,https://indvigo.ru/dvizhenievradost/gennadiy-sokolov-est-tolko-odin-sposob-dostich-vershiny-terpet-i-preodolet/,https://xn----8sbalcgsi5aih6o.xn--p1ai/obraz-zhizni-349/33646-sekrety-motivatsii-ot-olimpiyskogo-chempiona-vperedi
как правильно обрезать плодовые деревья весной -cyberleninka -youtube -видео -pdf,https://aogarden.ru/articles/sad-i-ogorod/obrezka-plodovykh-derevev-vesnoy-skhemy-dlya-nachinayushchikh/,https://www.houzz.ru/statyi/azy-sadovoda-obrezka-derevyev-i-kustarnikov-stsetivw-vs~63052536
советы по весенней обрезке плодовых деревьев -cyberleninka -youtube -видео -pdf,https://aogarden.ru/articles/sad-i-ogorod/obrezka-plodovykh-derevev-vesnoy-skhemy-dlya-nachinayushchikh/,https://aristosad-crimea.ru/news/news2
