queries,num_message,stage,prompt,model,query_counts,answer_similarity
"['книги для расширения кругозора и вдохновения список', 'лучшие книги для саморазвития и поиска вдохновения отзывы']",0,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7061360212286836
"['сколько книг читать в год для саморазвития', 'как развить привычку читать и выбрать интересные книги']",1,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.8117111008160867
"['топ 5 упражнений для утренней зарядки видео', '#зарядка  #утренняязарядка  видео упражнения для фитнеса']",2,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.817909262325393
"['история успеха известного спортсмена преодоление трудностей', 'мотивационные истории спортсменов жизненный путь примеры']",3,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7165489487601078
"['правила весенней обрезки плодовых деревьев для начинающих', 'техника обрезки яблонь, груш и слив весной']",4,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.5747028840898329
"['лучшие сорта томатов для открытого грунта в Сибири с описанием', 'томаты для Сибири: урожайность, сроки созревания, устойчивость к болезням']",5,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.741010013813286
"['как искусственный интеллект изменит политику в будущем', 'влияние AI на международные отношения: дискуссия']",6,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7404566687005344
"['как молодым людям участвовать в политике России', 'возможности для молодежи в политической жизни страны опрос']",7,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7037939099729532
"['case studies big data optimization business processes', 'how businesses use data analytics to improve efficiency examples']",8,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.2881315384562181
"['future trends in big data analytics for data scientists', 'emerging technologies in big data analysis and their impact']",9,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.37272987132802426
"['Влияние социальных сетей на формирование общественного мнения: обсуждение', '#СоциальныеСети #ОбщественноеМнение #Медиа']",10,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.6165217409997807
"['будущее интернет рекламы тренды 2023 маркетологи', 'прогнозы развития digital advertising для рекламодателей']",11,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7289796408944627
"['методы развития критического мышления #критическоемышление #аналитика', 'упражнения для тренировки критического мышления #решения #критическоемышление']",12,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.898170132579787
"['Экологические проблемы современности: решения и перспективы #экология #охранаприроды #зеленоебудущее', 'Как сохранить окружающую среду: практические советы и глобальные инициативы #экология #охранаприроды #зеленоебудущее']",13,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.9382265386362787
"['техники медитации для снятия стресса', 'преимущества медитации для начинающих']",14,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.8794930610625397
"['практичные советы по организации времени и пространства', 'методы повышения продуктивности и организованности для начинающих']",15,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.6552603172306546
"['#здоровоепитание советы по выбору продуктов, #здоровье примеры рациона', 'как составить здоровый рацион питания для начинающих']",16,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.6298302959866595
"['методы развития творческих способностей', 'упражнения для развития креативности #творчество #развитие #творческийпотенциал']",17,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.8631257829919814
"['психология цвета в дизайне', 'влияние цвета на потребительское поведение исследования']",18,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.830752472367845
"['как составить бюджет для молодых людей', 'простые инвестиции для начинающих: советы и рекомендации']",19,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.767935704607877
"['влияние музыки на настроение и работоспособность исследования #музыкатерапия #саморазвитие', 'лучшая музыка для работы и учебы #фоноваямузыка #продуктивность']",20,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7647223718842928
"['методы развития эмоционального интеллекта', 'упражнения для повышения эмоционального интеллекта']",21,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.9101148416230024
"['влияние социальных сетей на психическое здоровье дискуссия', 'как соцсети влияют на настроение и самооценку?']",22,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7715900500189857
"['как бороться с эмоциональным выгоранием', 'признаки и методы борьбы с выгоранием у взрослых/студентов/работников']",23,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.579250985901575
"['как спорт влияет на работу мозга', 'лучшие виды спорта для улучшения памяти и концентрации']",24,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7498321165593862
"['как развить эмпатию: практические советы', 'улучшить коммуникации: упражнения на эмпатию #развитиеличности']",25,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.6751980844913109
"['научные исследования влияние музыки на память', 'музыка для улучшения памяти и концентрации']",26,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.7475458748186364
"['советы по построению гармоничных отношений', 'как улучшить отношения с партнером']",27,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.587568004616947
"['влияние стресса на организм человека', 'как стресс влияет на физическое и психическое здоровье']",28,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.9070938168045706
"['методы развития креативности', 'упражнения для повышения креативности #креативность #мышление #решения']",29,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.8116085090974259
"['как технологии меняют образование', 'технологии в образовании: плюсы и минусы для качества и доступности']",30,web_search,0,gemma-2-9b-it-Q8_0_L,2,0.8694422199374949
